Disease Surveillance Database,Added By,Status,Reviewer,What organization created the system?,NP (non-profit) FP (for-profit) Gov (Government),Justification of Removal (it's not health epi focused),ik,Current/Terminated/Absorbed,Date Created,Date Terminated (C if current),LINKS to database as well as relevant articles,Geographic Region,City,Region,Countries,Global (mark as global),Data Source (Where does the data come from?),Data Type,Justification of Removal (it's not health epi focused),LINKS to database as well as relevant articles,Source Classification (of illness iNFormation),Syndromic Surveillance, Surveillance,Humans,Animals,Plants,Specific Symptoms Surveyed,Specific Diseases Surveyed,NOTES,MORE NOTES
GP Sentinel Surveillance (Northern Ireland),Faith,,,Public Health Agency (PHA),Gov,,,nf ,nf ,nf ,http://syndromicsurveillance.eu/systems-in-europe/humansys,,,,Northern Ireland,,,,,http://syndromicsurveillance.eu/systems-in-europe/humansys,clinical,yes,,yes,no,no,ILI,"chickenpox, shingles, measles, mumps, rubella, gastroenteritis",http://www.syndromicsurveillance.eu/triple-s_inventory_report.pdf,
EDIS (Emergisoft's Emergency Department Information System),,KEEP,ZG-yes,Emergisoft,FP,"A commerical, off-the-shelf program for disease surveillance, not a unique database",,NF ,NF,NF ,Website is offline,,NF,NF,NF,,,,,,clinical,yes,,yes,no,no,,nonspecific,,
Epidemic IQ (EpiIQ),Laura H.,,,"Global Viral (GVF), Metabiota",NP,,2012-current,Current ,2012,C ,http://www.youtube.com/watch?v=luaude__mVU,,nf,nf,nf,NF,,,,http://www.youtube.com/watch?v=luaude__mVU,news,yes,,yes,no,no,,**,http://brd.lanl.gov/oppie/service?url_ver=Z39.88-2004&rft_id=info:lanl-repo/oppie&svc_val_fmt=http://oppie.lanl.gov/openurl/oppie.html&svc_id=info:lanl-repo/svc/oppie/full-rec&svc.oparam1=info:lanl-repo/brd/SYS0531&svc.oparam2=info:lanl-repo/svc/getDIDL&svc.oparam3=epidemic%20iq&svc.oparam4=0&svc.oparam5=38&svc.oparam6=score%20desc&svc.oparam7=LANL&svc.oparam8=&svc.oparam9=&svc.oparam10=info:lanl-repo/svc/oppie/solr-bib-search,
GP sentinel surveillance system (New Zealand),Faith,,,Institute of Environmental Science and Research Ltd.,"Gov, FP",,,Current,1991,C,https://surv.esr.cri.nz/public_health_surveillance/influenza.php,New Zealand,,,New Zealand,,,,,https://surv.esr.cri.nz/public_health_surveillance/influenza.php,"clinical, lab",yes,no,yes,no,no,ILI,influenza,,
GP influenza sentinel surveillance system,Olivia W.,,,,Gov,,,Terminated,2000,2011,,northern ireland,,,New Zealand,,60 sentinel general practices,"clinical data on influenza like illness, virological surveillance (nasal & throat swab)",,,"clinical, lab",yes,no,yes,no,no,,influenza,,
Influenzanet,Laura H.,,,European Comission (CORDIS),Gov,,"Netherlands and Belgium (since 2003), Portugal (since 2005), Italy (since 2008) and United Kingdom (since 2009",Current,2003,C,https://www.influenzanet.eu/en/,,,,"Netherlands, Belgium, Portugal, Italy, United Kingdom, Denmark, France, Ireland, Sweden, Spain",,,,,https://www.influenzanet.eu/en/,citizen/self reporting,yes,,yes,no,no,ILI,Influenza,http://www.mobs-lab.org/uploads/6/7/8/7/6787877/clinical_microbio.pdf,
Surveillance infectieziekten in verpleeghuizen (SNIV),Laura H.,,,Dutch National Institue for Public Health and the Environment (RIVM),Gov,,2011-current,Current,2011,C,http://www.rivm.nl/Onderwerpen/S/Surveillance_van_infectieziekten/Surveillance_Netwerk_Infectieziekten_in_Verpleeghuizen_SNIV,Netherlands,,,Netherlands,,,,,http://www.rivm.nl/Onderwerpen/S/Surveillance_van_infectieziekten/Surveillance_Netwerk_Infectieziekten_in_Verpleeghuizen_SNIV,clinical,yes,,yes,no,no,ILI,"gastroenteritis, pneumonia, UTIs",,
Surveillance infectieziekten in kinderdagverblijven (KIzSS),Laura H.,,,Dutch National Institute for Public Health and the Environment (RIVM),Gov,,2011-current,Current,2011,C,http://www.rivm.nl/Onderwerpen/S/Surveillance_van_infectieziekten/Kinderdagverblijven_Infectieziekten_Surveillance_Systeem,Netherlands,,,Netherlands,,,,,http://www.rivm.nl/Onderwerpen/S/Surveillance_van_infectieziekten/Kinderdagverblijven_Infectieziekten_Surveillance_Systeem,"clinical, lab",yes,,yes,no,no,nonspecific,"Escherichia, Salmonella, Shigella, Campylobacter, Clostridium, Norovirus, Sapovirus, Rotavirus, Adenovirus, Astro Virus, Dientamoeba, Giardia and Cryptosporidium",,
National Sentinel Surveillance Network for Infectious Diseases in Nursing Homes (SNIV),Olivia W.,,ZSG,Dutch Centre for Infectious Disease Control (CIDC),Gov,,"January 1, 2009-current",current,1/1/2009,C,http://www.rivm.nl/en/Topics/S/SNIV,Netherlands,,,Netherlands,,nursing homes,"reported cases, nursing home non-clinical data",,http://www.rivm.nl/en/Topics/S/SNIV,"clinical, non-clinical",yes,,yes,no,no,,"ILI, gastroenteritis, urinary tract infection, lower respiratory tract infection, all causes of mortality",,
HAVNET,Olivia W.,,ZSG,Dutch National Institue for Public Health and the Environment (RIVM),Gov,,1999-current,current,1999,C,http://www.rivm.nl/en/Topics/H/HAVNET,International,,,Netherlands,,"laboratories, clinical settings, epidemiological databases","specimen (faeces, plasma/serum), source (from patient, environment, food), clinical symptoms, year of birth, vaccination status, travel history, part of outbreak, sequences of VP1/2A region, VP3/VP1 region, complete capsid or complete genome",,http://www.rivm.nl/en/Topics/H/HAVNET,"lab, clinical",yes,,yes,no,no,,Hep-A,Data submitted to the database will become publicly accessible 6 months after their date of submission.,
MITRE Text and Audio Processing System (MiTAP),Olivia W.,,,MITRE Corporation,NP,"audio & processing system (software), not surveillance system /",,Current,2001,C,,,N/A,N/A,N/A,N/A,,"epidemiological reports, newswire feeds, e-mail, online news (in multiple languages), user submitted information",,https://www.aaai.org/ojs/index.php/aimagazine/article/viewFile/1666/1564,"news, PHOR",yes,,yes,no,no,nonspecific,nonspecific,,
FirstWatch Real-Time Early Warning System,"FirstWatch automatically sends alerts to authorized, user-defined personnel via email, pager, SMS-text message or fax. Alerts can contain summary reports, charts, graphs, maps and other important or mission critical information.",KEEP,ZG-yes,"Stout Solutions, LLC",FP,"A commerical, off-the-shelf program for disease surveillance, not a unique database",,Current,1999,C,http://www.firstwatch.net/,Various,N/A,N/A,N/A,N/A,,,,,"non-clinical, clinical",yes,no,yes,no,no,no,nonspecific,,
Systema Nacional de Vigilancia Epidemiológica  (SINAVE) (National Epidemiological Surveillance System),Faith,,,Secretaría de Salud (Secretary of Health),Gov,,,Current,1995,C,http://www.epidemiologia.salud.gob.mx/dgae/sinave/intd_sinave.html,Mexico,,,Mexico,,,,,http://www.epidemiologia.salud.gob.mx/dgae/sinave/intd_sinave.html,"clinical, non-clinical",yes,,yes,no,no,,nonspecific,,
"Ministry of Public Health, Lebanon",Laura H.,,,Lebanon Government,Gov,not a surveillance system,,Current,NF,C,http://www.moph.gov.lb/Pages/Home.aspx,Lebanon,,,Lebanon,,"GP, dispensaries, ICU, hospitals","absenteeism, medicine dispensed, diagnoses, lab results",,http://www.moph.gov.lb/Pages/Home.aspx,"non-clinical, clinical, lab",yes,,yes,no,no,"SARI, ARI, acute watery diarrhea, food poisoning, death","poliomyelitis, rabies, avian influenza, meningitis, measles, rubella, MERS-CoV, cancer, accute flaccid paralysis, diptheria, mumps, pertussis, tetanus, hepatitis A, hepatitis B, brucellosis, cholera, dysentery, trichinosis, typhoid fever, hydatid cyst, parasitic worms, bilharziasis, Creutzfeld-Jakob disease, ebola, gonorrhea, leishmaniasis, leprosy, malaria, meningitis, plague, siphilis, yellow fever, typhus, hepatitis C",,
"Enhanced Syndromic Surveillance for the Fourth Japan-China-South
  Korea Trilateral Summit 2011",Olivia W.,,,"Tokyo Metropolitan Government, National Institute of Infectious Diseases (Japan)",Gov,,,Terminated,2011,2011,http://www.omicsonline.org/enhanced-syndromic-surveillance-for-the-fourth-japanchinasouth-korea-trilateral-summit-2157-2526.1000126.php?aid=22353,,,,"Japan, China, South Korea",,"Official Syndromic Surveillance, Ambulance Transfer Syndromic Surveillance, and Pharmacy Surveillance",,,http://www.omicsonline.org/enhanced-syndromic-surveillance-for-the-fourth-japanchinasouth-korea-trilateral-summit-2157-2526.1000126.php?aid=22353,"PHOR, clinical, non-clinical",yes,no,yes,no,no,"fever and respiratory symptoms, fever and rash, fever, diarrhea/bloody stool, vomiting/nausea, rash, palpitation, dizziness, unconsciouness, spasm/paralysis, collapse/weakness, breathing disorder, bloody emesis/nasal hemorrhage, ",syndromic only,"also drugs categorized under, “relief of fever and pain”, “drugs for common colds”, “antibiotics”, “anti-influenza virus drugs” (excluding for Amantadine), and “anti-Varicella-Zoster Virus drugs”, with the last two categories further sub-classified by age: “younger than 15”, “16–64”, and “older than 65 years old”. As surveillance for a potential bioterrorism using smallpox, we monitored the change in prescription of acyclovir to adults, without increase in the population of children or the elderly.",
Experimental Three Syndromic Surveillances in Japan,Olivia W.,,,National Institute of Infectious Diseases (Japan) ,Gov ,,,Terminated ,1995,2004,http://faculty.washington.edu/lober/www.isdsjournal.org/htdocs/articles/212.pdf,,,,Japan,,,,,http://faculty.washington.edu/lober/www.isdsjournal.org/htdocs/articles/212.pdf,"clinical, non-clinical",yes,no,yes,no,no,"fever, respiratory symptoms, diarrhea, vomiting, rash, cough symptoms",syndromic only,,
Syndromic surveillance for Korea-Japan FIFA World Cup 2002 in Japan,Olivia W.,,,National Institute of Infectious Diseases (Japan),Gov,,,Absorbed,2002,2002,http://www.springer.com/cda/content/document/cda_downloaddocument/9781441912770-c1.pdf?SGWID=0-0-45-855352-p173917743,,,,Japan,,emergency hospitals,symptoms in 5 categories,,http://www.springer.com/cda/content/document/cda_downloaddocument/9781441912770-c1.pdf?SGWID=0-0-45-855352-p173917743,"PHOR, clinical, non-clinical",yes,no,yes,no,no,NF,syndromic only,http://www.researchgate.net/publication/251200183_Web-based_Japanese_syndromic_surveillance_for_FIFA_World_Cup_2002,
Kazemill,Faith,* can't find,,Tokyo University,Gov,,,nf ,2010,nf ,http://www.kazemiru.jp/,,,,Japan,,,,,https://www.youtube.com/watch?v=sHe0vNVLm20,social media,yes,,yes,no,no,cold symptoms,syndromic only,,
"Syndromic surveillance system of respiratory infections, gastroenteritis, acute hepatitis, fever and other diseases",Olivia W.,,,NF,NF,,,nf ,2000,nf ,http://www.ncbi.nlm.nih.gov/pubmed/19350960,italy,,,Italy,,emergency departments,"Emergency department chief complaints, syndromic data",,http://www.ncbi.nlm.nih.gov/pubmed/19350960,clinical,yes,no,yes,no,no,"influenza-like illness, low respiratory tract infections, fever with rash (maculopapular and vescicular)","non-haemorrhagic gastroenteritis, acute hepatitis",,
Syndromic surveillance system for epidemic prone diseases set up following increased migration flows,Olivia W.,,,"Italian Ministry of Health (Centro per il Controllo delle Malattie, CCM), National Centre for Epidemiology, Surveillance and Health Promotion of the National Institute of Health (CNESPS-ISS)",Gov,,,Terminated,2011,2013,http://www.eurosurveillance.org/images/dynamic/EE/V16N46/art20016.pdf,italy,,,Italy,,"immigration cetnres and local/regional health authorities (syndromic data), ISS (laboratory data)","syndromic data based on grid of 13 syndromes, laboratory confirmed data",,http://www.eurosurveillance.org/images/dynamic/EE/V16N46/art20016.pdf,clinical,yes,no,yes,no,no,"respiratory tract disease, suspected TB, bloody diarrhea, watery diarrhea, fever and rash, meningitis/encephalitis/encephalopathy/delirium, lymphadenitis and fever, botulism-like illness, sepsis/unexplained shock, hemorrhagic illness, acute jaundice, parasitic skin infection, unexplained death",syndromic only,"Following the 2011 North Africa Crisis, Italy witnessed an increased influx of migrants and established a syndromic surveillance system to monitor the health status of this immigrant population",
Integrated surveillance system for the 2006 Winter Olympic and Paralympic Games,Olivia W.,,,"health authorities in the Piemonte Region, the Italian Ministry of Health (Centro per il Controllo delle Malattie, CCM) and the Istituto Superiore di Sanità",Gov,,,Terminated,2006,2006,http://www.eurosurveillance.org/ViewArticle.aspx?PublicationType=W&Volume=11&Issue=6&OrderNumber=4,italy,Turin,,Italy,,seven accident and emergency departments of local hospitals. 19 on-call medical services. Toxic exposure surveillance,"Statutory notifications of infectious diseases, based on physician’s notifications. Laboratory-based surveillance of invasive diseases. Sentinel surveillance of influenza-like illness. Syndromic surveillance was set up specifically for the Olympic Games",,http://www.eurosurveillance.org/ViewArticle.aspx?PublicationType=W&Volume=11&Issue=6&OrderNumber=4,"clinical, lab",yes,no,yes,no,no,"ILI, fever and respiatory symptoms, gastroenteritis with blood, gastroenteritis without blood, fever and rash, lymphadenitis with fever, neurological, acute onset jaundice, hemahorrhagic, botulism-like illness, localized cutaneous lesion, sepsis/unexplained shock, acute coma, unexplained death ","anthrax, botulism, cholera, diptheria, viral hepatitis, viral hemorhagic fever, yellow fever, relapsing fever, legionellosis, bacterial meningitis, measles, palgue, poliomyelitis, rabies, typhus exanthematicus, trichinosis, tularemia, smallpox, TB, foodborne illness",also toxic exposure,
Emergency room admission surveillance,Olivia W.,,,NF,Gov,,,nf ,2008,nf ,http://syndromicsurveillance.eu/systems-in-europe/humansys,italy,,,Italy,,40 emergency departments in 7 regions,emergency services data,,http://syndromicsurveillance.eu/systems-in-europe/humansys,"clinical, non-clinical",yes,,yes,no,no,"Hemorrhagic illness, influenza-like illness (ILI), localized cutaneous lesion, lymphadenitis, neurological symptoms, rash, respiratory illness, diarrhoea, death, gastrointestinal illness (lower), gastrointestinal illness (upper)",Syndromic only,http://www.syndromicsurveillance.eu/triple-s_inventory_report.pdf,
The Latium Region syndromic surveillance system,Olivia W.,,,Centro Nazionale per la Prevenzione e il Controllo delle Malattie (CCM),Gov,,,terminated,3/2006,12/1/2008,http://syndromicsurveillance.eu/systems-in-europe/humansys,italy,Lazio,,Italy,,Emergency wards from all emergency departments in Lazio,emergency ward admissions,,http://www.syndromicsurveillance.eu/triple-s_inventory_report.pdf,"clinical, non-clinical",yes,no,yes,no,no,"ILI, respiratory",Syndromic only,http://www.asplazio.it/asp_online/att_ospedaliera/sorveglianza_sindromica_new/sorveglianza_sindromica.php?menu=s33,
Northern Ireland: GP flu sentinel surveillance scheme,Olivia W.,,,Public Health Agency (PHA),Gov,NF - links go to different systems,,nf ,nf ,nf ,,,,,Ireland,,sentinel practie network covering 11% of the population,,,,clinical,yes,,yes,no,no,,influenza,"England, Scotland and Wales:
  www.hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/SeasonalInfluenza/Epidemiologic alData/
  Republic of Ireland:
  www.hpsc.ie/hpsc/A- Z/Respiratory/Influenza/SeasonalInfluenza/Surveillance/InfluenzaSurveillanceReports/201 12012Season/",
Early Warning Outbreak Recognition System (EWORS),Olivia W.,,Karissa,Indonesian Ministry of Health and US Naval Medican Reserach Unit 2,Gov,,"developed 1998, adopted 2006",nf ,1998,nf ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2587689/,"Indonesia, Vietnam, Cambodia, Laos, and South Korea",,,"Indonesia, Vietnam, Cambodia, Laos, South Korea",,"hospitals, clinics, emergency departments in Indonesia","short, standardized questionnaires filled out to collect demographic and clinical information (May, Chretien, Pavlin 2009)",,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2587689/,clinical,yes,,yes,no,no,"abdominal discomfort, anuria/oliguria, bloody cough, bloody diarrhea, bone/muscle/joint pain, bubo-lymphadenitis, chills, common cold, conjunctivitis, cough, cutaneous bleeding, dark urine, dehydration, diarrhea, difficult breathing, fever, headache, hematemesis/melena, jaundice, malaise, mental status disturbances, nausea, paralysis, rash, seizures, sore throat, stiff neck, vesicle/bullae, vomiting",nonspecific,,
IDSurv,Laura H.,,,"Indian Academy of Pediatrics, Kutch Branch",NP,,,Terminated,2012,2014,http://idsurv.org/#,,,,India,,,,,http://idsurv.org/#,clinical,yes,no,yes,no,no,none,"Acute Bacterial Meningitis, Acute Encephalitis syndrome, chicken pox, pertussis, dengue, diphtheria, typhoid, pneumonia, hepatitis, measles, mumps",,
Case-Based Measles Surveillance in Pune,Olivia W.,done,Robyn,WHO Measles Aerosol Vaccine Project MAVP,Gov,,2009-2011,terminated,2009,2011,,"Pune District, India",,Pune District,India,,pre-existing network of reporting sites for Acute Flaccid Paralysis surveillance for polio in Pune,"serology (IgM), epidemiological linkage or clinical presentation",,,"lab, clinical",yes,no,yes,no,no,,measles,http://www.ncbi.nlm.nih.gov/pubmed/25290339,
International Disease Surveillance Programme (IDSP),Olivia W.,,,"National Center for Disease Control (NCDC), Ministry of Family Health and Welfare Government of India",Gov,,,Current,2004,C,http://www.idsp.nic.in/,,,"Andaman and Nicobar Island, Arunachal Pradesh, Chandigarh, Delhi, Goa, Gujarat, Haryana, Karnataka, Madhya Pradesh, Meghalaya, Mizoram, Nagaland, Orissa, Punjab, Uttrakhand",India,,,"syndromic surveillance data, laboratory confirmed cases",,http://www.idsp.nic.in/,"PHOR, clinical, lab",yes,,yes,no,no,respiratory distress,"malaria, cholera, typhoid, tuberculosis, measles, polio, meningo-encephalitis, influenza, plague, hemorrhagic diseases","road traffic accidents, undiagnosed",
Orissa Multi-Disease Surveillance System (OMDSS),Faith,,,Government of Orissa,Gov,,,nf ,1999,nf ,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2004.01293.x/full,,,Orissa,India,,,,,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-3156.2004.01293.x/full,"clinical, lab",yes,,yes,no,no,12 syndromes (unspecified),nonspecific,,
GrippeWeb,Olivia W.,,,Robert Koch Institut (RKI),Gov,,,Current,2011,C,https://grippeweb.rki.de/,germany,,,Germany,,users,weekly acute respiratory illness survey,,https://grippeweb.rki.de/,citizen/self reporting,yes,,yes,no,no,"ILI, acute respiratory disease symptoms",syndromic only,,
EpiLag (Epidemiologische Lage Konferenz)- Epidemiological situation telephone conference,,KEEP,ZG-yes,Robert Koch Institut (RKI),Gov,conference call,,Current,2009,C,http://syndromicsurveillance.eu/systems-in-europe/humansys,,,,Germany,,,,,http://www.syndromicsurveillance.eu/triple-s_inventory_report.pdf,PHOR,yes,,yes,nf,nf,"hemorrhagic illness, ILI, respiratory, diarrhea, enterovirus-related infection syndrome, fever, gastrointestinal illlness (lower), gastrointestinal illness (upper)",nonspecific,http://www.syndromicsurveillance.eu/triple-s_inventory_report.pdf,
"Réseau d’alerte, d’investigation et de surveillance des infections nosocomiales (RAISIN) (Nosocomial Infection Alert, Investigation and Monitoring Network)",Faith,,,l’Institut de veille sanitaire (InVS),Gov,,,Current,2001,C,http://www.invs.sante.fr/)en/Invs_en/About-InVS/Programmes/Infectious-diseases/Healthcare-associated-infections-and-resistance-to-antibiotics,,,,France ,,,,,http://www.invs.sante.fr/)en/Invs_en/About-InVS/Programmes/Infectious-diseases/Healthcare-associated-infections-and-resistance-to-antibiotics,clinical,yes,,yes,no,no,,Nosocomial infections,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19408,
Sentinelles,Laura H.,,,Institut National de la Santé et de la Recherche Médicale (INSERM),Gov,,1984-current,Current,1984,C,http://websenti.u707.jussieu.fr/sentiweb/?lang=en,France,,,France,,,,,http://websenti.u707.jussieu.fr/sentiweb/?lang=en,clinical,yes,no,yes,no,no,"Influenza-like-illness, acute diarrhea","chicken pox, Herpes, Lyme disease, Male urethritis, Mumps, Suicidal attempts, Asthma attack, HCV Hep A, Hep B, Hep C, HIV, Hospitalizations, Measles",,
Sentiweb,Olivia W.,,,INSERM,Gov,,,Current,1995,C,http://www.bmj.com/content/313/7069/1381,,,,France,,,,,http://www.bmj.com/content/313/7069/1381,clinical,yes,no,yes,no,no,"ILI, Acute diarrhea","Measles, Mumps, Chickenpox, Acute Viral Hepatitis, male urethritis, HIV/AIDS",,
Organisation de la surveillance coordonnée des urgences’ (OSCOUR),Faith,,,l’Institut de veille sanitaire (InVS),Gov,,2004-current,Current,2004,C,http://www.invs.sante.fr/Espace-professionnels/Surveillance-syndromique-SurSaUD-R/Reseau-OSCOUR-R,France (Coverage varies by region),,"Franche-Comté, Lorraine, Limousin, Languedoc-Roussillon, Reunion",France,,hospital emergency departments,anonymized demographic and medical information extracted from computerized patient records,,http://www.invs.sante.fr/Espace-professionnels/Surveillance-syndromique-SurSaUD-R/Reseau-OSCOUR-R,clinical,yes,,yes,no,no,,nonspecific,"general surveillance (eg demographic info, 10 most common diagnoses, seasonal illnesses), and if an outbreak is detective more specific surveillance is initiated",
Surveillance sanitaire des urgences et des décès (SurSaUD),Olivia W.,,,"l’Institut de veille sanitaire (InVS), Ministry of Health",Gov,,2004-current,Current,2004,C,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=21126,France,,,France,,"hospital emergency departments (OSCOUR), GP emergency and healthcare network, mortality registry offices, SOS Medicins","morbidity data, mortality data",,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=21126,"PHOR, clinical",yes,,yes,no,no,,NF,,
Health Gate,Olivia W.,,,NF,Gov,,,Current,2013,C,http://www.syndromicsurveillance.eu/triple-s_inventory_report.pdf,finland,,,Finland,,,,,http://www.syndromicsurveillance.eu/triple-s_inventory_report.pdf,clinical,yes,,yes,no,no,"Asthma, hemorrhagic illness, influenza-like illness (ILI), lymphadenitis, neurological symptoms, rash, respiratory illness, shortness of breath, specific infection, sun/heat stroke, blood poisoning, botulism-like illness, diarrhoea, enterovirus-related infection syndrome, fever, gastrointestinal illness (lower), gastrointestinal illness (upper)",nonspecific,,
European Surveillance of Antimicrobial Consumption Network (ESAC-Net),Faith,,,European Centre for Disease Protection and Control (ECDC) ,Gov,,2011-current,Current ,2011,C ,http://ecdc.europa.eu/en/activities/surveillance/ESAC-Net/Pages/index.aspx,,,,European Union,,,,,http://ecdc.europa.eu/en/activities/surveillance/ESAC-Net/Pages/index.aspx,clinical,yes,,yes,no,no,,antimicrobial use,,
European Influenza Surveillance Scheme (EISS) BECAME European Influenza Surveillance Network (EISN),Olivia W.,done,Karissa,European Centre for Disease Prevention and Control,Gov,,1996-current,current,1996,C,"http://ecdc.europa.eu/en/activities/surveillance/EISN/
 http://ecdc.europa.eu/en/publications/Publications/influenza-surveillance-overview-5-september-2014.pdf",Europe,,,European Union,,"hospital databases, national reference laboratories, sentinel (ILI/ARI) and non-sentinel sources, sentinel general practitioners","consultations for influenza-like-illness or acute respiratory infections, case-based data on hospitalized severe influenza, laboratoy data on viruses collected from sentinel and non-sentinel sources, antiviral susceptibility and detections of respiratory syncytial virus and case-confirmations and reports",,"http://ecdc.europa.eu/en/activities/surveillance/EISN/
 http://ecdc.europa.eu/en/publications/Publications/influenza-surveillance-overview-5-september-2014.pdf","lab, PHOR, clinical",yes,No,yes,no,no,,Influenza,,
Health Emergency and Disease Information System (HEDIS),Olivia W.,done,Karissa,European Commission Joint Research Centre and Health and Consumer Protection Directorate General,Gov,,2005-current,Current,2005,C,"https://ec.europa.eu/jrc/sites/default/files/jrc_factsheet_hedis_medisys.pdf
https://ec.europa.eu/jrc/sites/default/files/jrc_factsheet_hedis_medisys.pdf",European Union,,,European Union,,"News media, Commission, ECDC, WHO, EMM, hospital databases, Interactive Disaster Analysis System","news, reports, scientific articles, analyses of the surroundings of a given event (population, activities, hospitals...), data from hospitals",,https://ec.europa.eu/jrc/sites/default/files/jrc_factsheet_hedis_medisys.pdf,"news, journals, PHOR",yes,"yes- through the Medisys system, it looks if there is a sudden increase of articles on any given subject. (meta internet analysis)",yes,nf,nf,no,nonspecific,active during an outbreak only,
RAS-CHEM,,KEEP,ZG- yes this is a chemical spill alert system,European Comission,Gov,communication system,,Current,2010,C,,,,,European Union,,,,,http://ec.europa.eu/health/preparedness_response/generic_preparedness/planning/rapid_alert_en.htm,non-clinical,yes,,nf,nf,nf,,NA,chemical incidents,
NHS Direct/HPA syndromic surveillance system,Olivia W.,done,Robyn,NHS,Gov,,"1999 (influenza) 2001 (10 syndromes) - NHS Direct ceased operations on 3/31/14, replaced by Remote Health Advice surveillance system",Terminated,1999,2014,http://www.cdc.gov/mmwr/preview/mmwrhtml/su5401a19.htm,England and Wales,,,"England, Wales",,"nurse-led telephone helpline (21 sites in England, 1 site in Wales)",syndromic data: Clinical Assessment System (structured around approx. 230 computerized clinical algorithms) guides nurses’ questions to triage,,http://www.cdc.gov/mmwr/preview/mmwrhtml/su5401a19.htm,clinical,yes,no,yes,no,no,"cold/influenza, cough, diarrhea, difficulty breathing, double vision, eye problems, lumps, fever, rash and vomiting",nonspecific,https://books.google.com/books?id=-xI2Kl39ZzoC&pg=SA7-PA19&lpg=SA7-PA19&dq=National+Health+Service+(NHS)+Direct+Syndromic+Surveillance+(NHS+Direct)&source=bl&ots=tVYP3FW9-o&sig=B3q9XgcJv9t7FOVgpXdIgtLG26Y&hl=en&sa=X&ei=61-IVe6tK8qxsASs_oPACA&ved=0CDQQ6AEwAg#v=onepage&q=National%20Health%20Service%20(NHS)%20Direct%20Syndromic%20Surveillance%20(NHS%20Direct)&f=false,
HPA telehealth syndromic surveillance system,Olivia W.,,,Health Protection Agency (HPA),Gov,,,Absorbed,1999,2013,http://syndromicsurveillance.eu/systems-in-europe/humansys,,,,"England, Wales",,,,,http://syndromicsurveillance.eu/systems-in-europe/humansys,"non-clinical, clinical",yes,no,yes,no,no,,Nonspecific,"General public-health surveillance, Outbreak detection, Measure health impact of extreme weather events (all), Measure health impact of natural disasters (all), Measure health impact of manmade disasters (e.g., industrial or nuclear disasters), Chemical poisoning, Food poisoning, Detection of other public health threats (generic system capable of providing information on generic issues), Health surveillance at mass gathering events (e.g., Olympics)",
Emergency Department Syndromic Surveillance System (EDSSS),Olivia W.,,,"Health Protection Agency (HPA), which became Public Health England",Gov,,2010-current,current,2010,C,https://www.gov.uk/government/collections/syndromic-surveillance-systems-and-analyses,England and Northern Ireland,,,"England, Northern Ireland",,,ED visits,,https://www.gov.uk/government/collections/syndromic-surveillance-systems-and-analyses,"non-clinical, clinical",yes,no,yes,no,no,"respiratory, acute respiratory infection, ILI, bronchitis/bronchiolitis, difficulty breathing/wheeze/asthma, pneumonia, gastroenteritis, gastrointestinal, cardiac, myocardial ischemia, meningitis, heat/sunstroke",syndromic only,http://webarchive.nationalarchives.gov.uk/20140722091854/http://www.hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/RealtimeSyndromicSurveillance/SyndromicSystemsAndBulletinArchive/EDSSS/,
Remote Health Advice Syndromic Surveillance System,Faith,,,Public Health England,Gov,,2013-current,Current,2013,C,https://www.gov.uk/government/collections/syndromic-surveillance-systems-and-analyses,,,,England,,,Number of NHS 111 calls; syndromic indicator calls expressed as % of total calls,,https://www.gov.uk/government/collections/syndromic-surveillance-systems-and-analyses,citizen/self reporting,yes,,yes,no,no,cold/flu symptoms; fever; cough; difficulty breathing; diarrhoea; vomiting; eye problems; heat stroke,syndromic only,http://webarchive.nationalarchives.gov.uk/20140722091854/http://www.hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/RealtimeSyndromicSurveillance/SyndromicSystemsAndBulletinArchive/PHENHSDSyndromicSurveillanceSystemBulletinArchive/,
National Pandemic Flu Service (NPFS),Faith,,,HPA,Gov,,7/23/09-2/11/10,Terminated,7/23/2009,2/11/2010,http://webarchive.nationalarchives.gov.uk/20140626151846/http://hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/SeasonalInfluenza/EpidemiologicalData/30influsSourcesofUKfludata/,England,,,England,,,,,http://webarchive.nationalarchives.gov.uk/20140626151846/http://hpa.org.uk/Topics/InfectiousDiseases/InfectionsAZ/SeasonalInfluenza/EpidemiologicalData/30influsSourcesofUKfludata/,"clinical, citizen/self reporting",yes,,yes,no,no,symptoms of influenza,syndromic only,,
